"RouteID","RouteDescription","StopID","Sequence","Address","StopType","Pieces","Weight","Remarks","MinimumStopTime","PreferredStopTime","MaximumStopTime","CompletedTime","POD"
"MIA100","SCHEDULED ROUTE","33066858","2","Braman Motorcars/Braman MINI of Pal 2901 Okeechobee Blvd  West Palm Beach FL  33409","Delivery","12","3","","1/2/2018 9:00:00 AM","1/2/2018 9:00:00 AM","1/2/2018 9:00:00 AM","1/2/2018 11:38:00 AM","Victor Interlandi"
"MIA100","SCHEDULED ROUTE","33253787","2","Braman Motorcars/Braman MINI of Pal 2901 Okeechobee Blvd  West Palm Beach FL  33409","Delivery","5","5","","1/8/2018 8:55:00 AM","1/8/2018 8:55:00 AM","1/8/2018 8:55:00 AM","1/8/2018 11:21:00 AM","Luis"
"MIA100","SCHEDULED ROUTE","33138811","2","BMW Load 2844 Stirling Rd Box E-12 Unit T Hollywood FL  33021","Pickup","0","0","","1/5/2018 9:00:00 AM","1/5/2018 9:30:00 AM","1/5/2018 10:00:00 AM","1/5/2018 9:48:00 AM","Jacques belizZaire"
"MIA100","SCHEDULED ROUTE","33208051","1","Braman Motorcars/Braman MINI of Pal 2901 Okeechobee Blvd  West Palm Beach FL  33409","Delivery","3","3","","1/5/2018 8:47:00 AM","1/5/2018 8:47:00 AM","1/5/2018 8:47:00 AM","1/5/2018 11:11:00 AM","Mark"
"MIA100","SCHEDULED ROUTE","33091481","3","BMW Load 2844 Stirling Rd Box E-12 Unit T Hollywood FL  33021","Pickup","0","0","","1/4/2018 9:00:00 AM","1/4/2018 9:30:00 AM","1/4/2018 10:00:00 AM","1/4/2018 10:06:00 AM","Jacques belizzaire"
"MIA100","SCHEDULED ROUTE","33156509","1","Vista BMW/Vista MINI 4401 W Sample Rd  Coconut Creek FL  33073","Delivery","17","16","","1/4/2018 9:05:00 AM","1/4/2018 9:05:00 AM","1/4/2018 9:05:00 AM","1/4/2018 11:00:00 AM","Steven Beckles"
"MIA100","SCHEDULED ROUTE","33156512","2","Braman Motorcars/Braman MINI of Pal 2901 Okeechobee Blvd  West Palm Beach FL  33409","Delivery","5","4","","1/4/2018 9:05:00 AM","1/4/2018 9:05:00 AM","1/4/2018 9:05:00 AM","1/4/2018 11:50:00 AM","Luis patiño"
"MIA100","SCHEDULED ROUTE","33276879","0","BMW Load 2844 Stirling Rd Box E-12 Unit T Hollywood FL  33021","Pickup","0","0","","1/10/2018 9:00:00 AM","1/10/2018 9:30:00 AM","1/10/2018 10:00:00 AM","1/10/2018 9:52:00 AM","Jacques belizzaire"
"MIA100","SCHEDULED ROUTE","33224204","3","BMW Load 2844 Stirling Rd Box E-12 Unit T Hollywood FL  33021","Pickup","0","0","","1/9/2018 9:00:00 AM","1/9/2018 9:30:00 AM","1/9/2018 10:00:00 AM","1/9/2018 9:53:00 AM","Nan"
"MIA100","SCHEDULED ROUTE","33297447","1","Vista BMW/Vista MINI 4401 W Sample Rd  Coconut Creek FL  33073","Delivery","11","11","","1/9/2018 8:54:00 AM","1/9/2018 8:54:00 AM","1/9/2018 8:54:00 AM","1/9/2018 10:47:00 AM","Steve"
"MIA100","SCHEDULED ROUTE","33297450","2","Braman Motorcars/Braman MINI of Pal 2901 Okeechobee Blvd  West Palm Beach FL  33409","Delivery","5","5","","1/9/2018 8:54:00 AM","1/9/2018 8:54:00 AM","1/9/2018 8:54:00 AM","1/9/2018 11:29:00 AM","Victor"
"MIA100","SCHEDULED ROUTE","33188388","3","BMW Load 2844 Stirling Rd Box E-12 Unit T Hollywood FL  33021","Pickup","0","0","","1/8/2018 9:00:00 AM","1/8/2018 9:30:00 AM","1/8/2018 10:00:00 AM","1/8/2018 9:54:00 AM","Nan"
"MIA100","SCHEDULED ROUTE","33253784","1","Vista BMW/Vista MINI 4401 W Sample Rd  Coconut Creek FL  33073","Delivery","6","6","","1/8/2018 8:55:00 AM","1/8/2018 8:55:00 AM","1/8/2018 8:55:00 AM","1/8/2018 10:37:00 AM","Steve"
"MIA100","SCHEDULED ROUTE","33367130","3","BMW Load 2844 Stirling Rd Box E-12 Unit T Hollywood FL  33021","Pickup","0","0","","1/12/2018 9:00:00 AM","1/12/2018 9:30:00 AM","1/12/2018 10:00:00 AM","1/12/2018 9:45:00 AM","Jacques belizzaire"
"MIA100","SCHEDULED ROUTE","33425567","1","Vista BMW/Vista MINI 4401 W Sample Rd  Coconut Creek FL  33073","Delivery","6","6","","1/12/2018 8:43:00 AM","1/12/2018 8:43:00 AM","1/12/2018 8:43:00 AM","1/12/2018 10:39:00 AM","Steven Beckles"
"MIA100","SCHEDULED ROUTE","33425569","2","Braman Motorcars/Braman MINI of Pal 2901 Okeechobee Blvd  West Palm Beach FL  33409","Delivery","8","8","","1/12/2018 8:43:00 AM","1/12/2018 8:43:00 AM","1/12/2018 8:43:00 AM","1/12/2018 11:33:00 AM","Victor Interlandi"
"MIA100","SCHEDULED ROUTE","33325505","3","BMW Load 2844 Stirling Rd Box E-12 Unit T Hollywood FL  33021","Pickup","0","0","","1/11/2018 9:00:00 AM","1/11/2018 9:30:00 AM","1/11/2018 10:00:00 AM","1/11/2018 9:55:00 AM","Jacques belizzaire"
"MIA100","SCHEDULED ROUTE","33386825","1","Vista BMW/Vista MINI 4401 W Sample Rd  Coconut Creek FL  33073","Delivery","15","15","","1/11/2018 8:52:00 AM","1/11/2018 8:52:00 AM","1/11/2018 8:52:00 AM","1/11/2018 10:46:00 AM","Steven Beckles"
"MIA100","SCHEDULED ROUTE","33386827","2","Braman Motorcars/Braman MINI of Pal 2901 Okeechobee Blvd  West Palm Beach FL  33409","Delivery","6","6","","1/11/2018 8:52:00 AM","1/11/2018 8:52:00 AM","1/11/2018 8:52:00 AM","1/11/2018 5:38:00 PM","Victor"
"MIA100","SCHEDULED ROUTE","33554892","1","Vista BMW/Vista MINI 4401 W Sample Rd  Coconut Creek FL  33073","Delivery","9","8","","1/17/2018 8:50:00 AM","1/17/2018 8:50:00 AM","1/17/2018 8:50:00 AM","1/17/2018 10:36:00 AM","Steven Beckles"
"MIA100","SCHEDULED ROUTE","33554893","2","Braman Motorcars/Braman MINI of Pal 2901 Okeechobee Blvd  West Palm Beach FL  33409","Delivery","8","8","","1/17/2018 8:50:00 AM","1/17/2018 8:50:00 AM","1/17/2018 8:50:00 AM","1/17/2018 11:29:00 AM","Víctor Interlandi"
"MIA100","SCHEDULED ROUTE","33450565","3","BMW Load 2844 Stirling Rd Box E-12 Unit T Hollywood FL  33021","Pickup","0","0","","1/16/2018 9:00:00 AM","1/16/2018 9:30:00 AM","1/16/2018 10:00:00 AM","1/16/2018 10:03:00 AM","Jacques belizzaire"
"MIA100","SCHEDULED ROUTE","33511949","1","Vista BMW/Vista MINI 4401 W Sample Rd  Coconut Creek FL  33073","Delivery","14","14","","1/16/2018 8:56:00 AM","1/16/2018 8:56:00 AM","1/16/2018 8:56:00 AM","1/16/2018 11:01:00 AM","Alex"
"MIA100","SCHEDULED ROUTE","33511952","2","Braman Motorcars/Braman MINI of Pal 2901 Okeechobee Blvd  West Palm Beach FL  33409","Delivery","14","14","","1/16/2018 8:56:00 AM","1/16/2018 8:56:00 AM","1/16/2018 8:56:00 AM","1/16/2018 11:56:00 AM","Victor Interlandi"
"MIA100","SCHEDULED ROUTE","33397283","0","BMW Load 2844 Stirling Rd Box E-12 Unit T Hollywood FL  33021","Pickup","0","0","","1/15/2018 9:00:00 AM","1/15/2018 9:30:00 AM","1/15/2018 10:00:00 AM","1/15/2018 4:30:00 PM","Nsa"
"MIA100","SCHEDULED ROUTE","33736913","1","Vista BMW/Vista MINI 4401 W Sample Rd  Coconut Creek FL  33073","Delivery","13","12","","1/23/2018 9:17:00 AM","1/23/2018 9:17:00 AM","1/23/2018 9:17:00 AM","1/23/2018 11:02:00 AM","Héctor mendez"
"MIA100","SCHEDULED ROUTE","33736920","2","Braman Motorcars/Braman MINI of Pal 2901 Okeechobee Blvd  West Palm Beach FL  33409","Delivery","13","11","","1/23/2018 9:17:00 AM","1/23/2018 9:17:00 AM","1/23/2018 9:17:00 AM","1/23/2018 11:57:00 AM","Luis patino"
"MIA100","SCHEDULED ROUTE","33630435","0","BMW Load 2844 Stirling Rd Box E-12 Unit T Hollywood FL  33021","Pickup","0","0","","1/22/2018 9:00:00 AM","1/22/2018 9:30:00 AM","1/22/2018 10:00:00 AM","1/22/2018 11:02:00 AM","Nan"
"MIA100","SCHEDULED ROUTE","33579133","0","BMW Load 2844 Stirling Rd Box E-12 Unit T Hollywood FL  33021","Pickup","0","0","","1/19/2018 9:00:00 AM","1/19/2018 9:30:00 AM","1/19/2018 10:00:00 AM","1/19/2018 9:55:00 AM","Jacques belizzaire"
"MIA100","SCHEDULED ROUTE","33534644","0","BMW Load 2844 Stirling Rd Box E-12 Unit T Hollywood FL  33021","Pickup","0","0","","1/18/2018 9:00:00 AM","1/18/2018 9:30:00 AM","1/18/2018 10:00:00 AM","1/18/2018 10:34:00 AM","Jacques belizzaire"
"MIA100","SCHEDULED ROUTE","33492376","3","BMW Load 2844 Stirling Rd Box E-12 Unit T Hollywood FL  33021","Pickup","0","0","","1/17/2018 9:00:00 AM","1/17/2018 9:30:00 AM","1/17/2018 10:00:00 AM","1/17/2018 9:46:00 AM","Jacques belizzaire"
"MIA100","SCHEDULED ROUTE","33902138","0","BMW Load 2844 Stirling Rd Box E-12 Unit T Hollywood FL  33021","Pickup","0","0","","1/30/2018 9:00:00 AM","1/30/2018 9:30:00 AM","1/30/2018 10:00:00 AM","1/30/2018 10:15:57 AM","Jacques belizzaire"
"MIA100","SCHEDULED ROUTE","33857080","0","BMW Load 2844 Stirling Rd Box E-12 Unit T Hollywood FL  33021","Pickup","0","0","","1/29/2018 9:00:00 AM","1/29/2018 9:30:00 AM","1/29/2018 10:00:00 AM","1/29/2018 10:28:26 AM","Jacques belizzaire"
"MIA100","SCHEDULED ROUTE","33802361","0","BMW Load 2844 Stirling Rd Box E-12 Unit T Hollywood FL  33021","Pickup","0","0","","1/26/2018 9:00:00 AM","1/26/2018 9:30:00 AM","1/26/2018 10:00:00 AM","1/26/2018 9:51:00 AM","Jacques belizzaire"
"MIA100","SCHEDULED ROUTE","33762367","0","BMW Load 2844 Stirling Rd Box E-12 Unit T Hollywood FL  33021","Pickup","0","0","","1/25/2018 9:00:00 AM","1/25/2018 9:30:00 AM","1/25/2018 10:00:00 AM","1/25/2018 9:46:00 AM","Jacques belizzaire"
"MIA100","SCHEDULED ROUTE","33719069","0","BMW Load 2844 Stirling Rd Box E-12 Unit T Hollywood FL  33021","Pickup","0","0","","1/24/2018 9:00:00 AM","1/24/2018 9:30:00 AM","1/24/2018 10:00:00 AM","1/24/2018 10:09:00 AM","Jacques brlizzaire"
"MIA100","SCHEDULED ROUTE","33675864","3","BMW Load 2844 Stirling Rd Box E-12 Unit T Hollywood FL  33021","Pickup","0","0","","1/23/2018 9:00:00 AM","1/23/2018 9:30:00 AM","1/23/2018 10:00:00 AM","1/23/2018 10:10:00 AM","Jacques belizzaire"
"MIA100","SCHEDULED ROUTE","34081569","0","BMW Load 2844 Stirling Rd Box E-12 Unit T Hollywood FL  33021","Pickup","0","0","","2/5/2018 9:00:00 AM","2/5/2018 9:30:00 AM","2/5/2018 10:00:00 AM","2/5/2018 9:44:02 AM","Jacques belizzaire"
"MIA100","SCHEDULED ROUTE","34028631","0","BMW Load 2844 Stirling Rd Box E-12 Unit T Hollywood FL  33021","Pickup","0","0","","2/2/2018 9:00:00 AM","2/2/2018 9:30:00 AM","2/2/2018 10:00:00 AM","2/2/2018 4:19:48 PM","JB l"
"MIA100","SCHEDULED ROUTE","33985135","3","BMW Load 2844 Stirling Rd Box E-12 Unit T Hollywood FL  33021","Pickup","0","0","","2/1/2018 9:00:00 AM","2/1/2018 9:30:00 AM","2/1/2018 10:00:00 AM","2/1/2018 12:01:53 PM","Jacques belizzaire"
"MIA100","SCHEDULED ROUTE","34049113","1","Vista BMW/Vista MINI 4401 W Sample Rd  Coconut Creek FL  33073","Delivery","19","18","","2/1/2018 8:45:00 AM","2/1/2018 8:45:00 AM","2/1/2018 8:45:00 AM","2/1/2018 12:03:48 PM","Alex"
"MIA100","SCHEDULED ROUTE","34049115","2","Braman Motorcars/Braman MINI of Pal 2901 Okeechobee Blvd  West Palm Beach FL  33409","Delivery","6","6","","2/1/2018 8:45:00 AM","2/1/2018 8:45:00 AM","2/1/2018 8:45:00 AM","2/1/2018 12:05:18 PM","Luis patiño"
"MIA100","SCHEDULED ROUTE","33944572","0","BMW Load 2844 Stirling Rd Box E-12 Unit T Hollywood FL  33021","Pickup","0","0","","1/31/2018 9:00:00 AM","1/31/2018 9:30:00 AM","1/31/2018 10:00:00 AM","1/31/2018 9:52:41 AM","Jacques belizzaire"
"MIA100","SCHEDULED ROUTE","34275910","1","Vista BMW/Vista MINI 4401 W Sample Rd  Coconut Creek FL  33073","Delivery","11","10","","2/8/2018 8:57:00 AM","2/8/2018 8:57:00 AM","2/8/2018 8:57:00 AM","2/8/2018 11:11:20 AM","Steven becklers"
"MIA100","SCHEDULED ROUTE","34275913","2","Braman Motorcars/Braman MINI of Pal 2901 Okeechobee Blvd  West Palm Beach FL  33409","Delivery","8","8","","2/8/2018 8:57:00 AM","2/8/2018 8:57:00 AM","2/8/2018 8:57:00 AM","2/8/2018 12:04:31 PM","Luis patiño"
"MIA100","SCHEDULED ROUTE","34170103","0","BMW Load 2844 Stirling Rd Box E-12 Unit T Hollywood FL  33021","Pickup","0","0","","2/7/2018 9:00:00 AM","2/7/2018 9:30:00 AM","2/7/2018 10:00:00 AM","2/7/2018 9:13:02 AM","Jacques belizzaire"
"MIA100","SCHEDULED ROUTE","34125892","3","BMW Load 2844 Stirling Rd Box E-12 Unit T Hollywood FL  33021","Pickup","0","0","","2/6/2018 9:00:00 AM","2/6/2018 9:30:00 AM","2/6/2018 10:00:00 AM","2/6/2018 10:03:03 AM","Jacques belizzaire"
"MIA100","SCHEDULED ROUTE","34187647","1","Vista BMW/Vista MINI 4401 W Sample Rd  Coconut Creek FL  33073","Delivery","28","19","","2/6/2018 9:16:00 AM","2/6/2018 9:16:00 AM","2/6/2018 9:16:00 AM","2/6/2018 10:56:26 AM","Steven Beckles"
"MIA100","SCHEDULED ROUTE","34187653","2","Braman Motorcars/Braman MINI of Pal 2901 Okeechobee Blvd  West Palm Beach FL  33409","Delivery","10","10","","2/6/2018 9:16:00 AM","2/6/2018 9:16:00 AM","2/6/2018 9:16:00 AM","2/6/2018 11:47:21 AM","Victor Interlandi"
"MIA101","SCHEDULED ROUTE","34304885","1","BMW Load 2844 Stirling Rd Box E-12 Unit T Hollywood FL  33021","Pickup","0","0","","2/12/2018 9:00:00 AM","2/12/2018 9:30:00 AM","2/12/2018 10:00:00 AM","2/12/2018 10:16:21 AM","John"
"MIA101","SCHEDULED ROUTE","34371229","2","Braman BMW/Braman MINI of Miami 2060 NE 2nd Ave  Miami FL  33137","Delivery","23","21","","2/12/2018 10:40:00 AM","2/12/2018 10:40:00 AM","2/12/2018 10:40:00 AM","2/12/2018 10:42:25 AM","Ernesto"
"MIA101","SCHEDULED ROUTE","34371235","3","South Motors BMW/MINI 16165 S Dixie Hwy  Miami FL  33157","Delivery","6","5","","2/12/2018 11:20:00 AM","2/12/2018 11:20:00 AM","2/12/2018 11:20:00 AM","2/12/2018 11:29:00 AM","Javier"
"MIA101","SCHEDULED ROUTE","34250864","0","BMW Load 2844 Stirling Rd Box E-12 Unit T Hollywood FL  33021","Pickup","0","0","","2/9/2018 9:00:00 AM","2/9/2018 9:30:00 AM","2/9/2018 10:00:00 AM","2/9/2018 10:08:33 AM","John"
"MIA101","SCHEDULED ROUTE","34210887","0","BMW Load 2844 Stirling Rd Box E-12 Unit T Hollywood FL  33021","Pickup","0","0","","2/8/2018 9:00:00 AM","2/8/2018 9:30:00 AM","2/8/2018 10:00:00 AM","2/8/2018 9:56:04 AM","John"
"MIA101","SCHEDULED ROUTE","34170104","0","BMW Load 2844 Stirling Rd Box E-12 Unit T Hollywood FL  33021","Pickup","0","0","","2/7/2018 9:00:00 AM","2/7/2018 9:30:00 AM","2/7/2018 10:00:00 AM","2/7/2018 10:09:46 AM","John"
"MIA101","SCHEDULED ROUTE","33112120","3","South Motors BMW/MINI 16215 S Dixie Hwy  Miami FL  33157","Delivery","17","17","","1/3/2018 11:20:00 AM","1/3/2018 11:20:00 AM","1/3/2018 11:20:00 AM","1/3/2018 12:37:00 PM","John"
"MIA101","SCHEDULED ROUTE","33018474","1","BMW Load 2844 Stirling Rd Box E-12 Unit T Hollywood FL  33021","Pickup","0","0","","1/2/2018 9:00:00 AM","1/2/2018 9:30:00 AM","1/2/2018 10:00:00 AM","1/2/2018 9:49:00 AM","John"
"MIA101","SCHEDULED ROUTE","33066724","2","Braman BMW/Braman MINI of Miami 2060 NE 2nd Ave  Miami FL  33137","Delivery","22","13","","1/2/2018 10:40:00 AM","1/2/2018 10:40:00 AM","1/2/2018 10:40:00 AM","1/2/2018 10:24:00 AM","Luis"
"MIA101","SCHEDULED ROUTE","33066725","3","South Motors BMW/MINI 16215 S Dixie Hwy  Miami FL  33157","Delivery","8","8","","1/2/2018 11:20:00 AM","1/2/2018 11:20:00 AM","1/2/2018 11:20:00 AM","1/2/2018 10:56:00 AM","Javiet"
"MIA101","SCHEDULED ROUTE","33208058","3","South Motors BMW/MINI 16165 S Dixie Hwy  Miami FL  33157","Delivery","7","6","","1/5/2018 11:20:00 AM","1/5/2018 11:20:00 AM","1/5/2018 11:20:00 AM","1/5/2018 12:16:00 PM","Javier"
"MIA101","SCHEDULED ROUTE","33091482","1","BMW Load 2844 Stirling Rd Box E-12 Unit T Hollywood FL  33021","Pickup","0","0","","1/4/2018 9:00:00 AM","1/4/2018 9:30:00 AM","1/4/2018 10:00:00 AM","1/4/2018 10:17:00 AM","Johnson"
"MIA101","SCHEDULED ROUTE","33156510","2","Braman BMW/Braman MINI of Miami 2060 NE 2nd Ave  Miami FL  33137","Delivery","10","10","","1/4/2018 10:40:00 AM","1/4/2018 10:40:00 AM","1/4/2018 10:40:00 AM","1/4/2018 10:40:00 AM","Luis"
"MIA101","SCHEDULED ROUTE","33156511","3","South Motors BMW/MINI 16165 S Dixie Hwy  Miami FL  33157","Delivery","27","18","","1/4/2018 11:20:00 AM","1/4/2018 11:20:00 AM","1/4/2018 11:20:00 AM","1/4/2018 11:29:00 AM","Javier"
"MIA101","SCHEDULED ROUTE","33055286","1","BMW Load 2844 Stirling Rd Box E-12 Unit T Hollywood FL  33021","Pickup","0","0","","1/3/2018 9:00:00 AM","1/3/2018 9:30:00 AM","1/3/2018 10:00:00 AM","1/3/2018 10:14:00 AM","John"
"MIA101","SCHEDULED ROUTE","33112118","2","Braman BMW/Braman MINI of Miami 2060 NE 2nd Ave  Miami FL  33137","Delivery","8","7","","1/3/2018 10:40:00 AM","1/3/2018 10:40:00 AM","1/3/2018 10:40:00 AM","1/3/2018 10:42:00 AM","Luis"
"MIA101","SCHEDULED ROUTE","33297452","3","South Motors BMW/MINI 16165 S Dixie Hwy  Miami FL  33157","Delivery","9","9","","1/9/2018 11:20:00 AM","1/9/2018 11:20:00 AM","1/9/2018 11:20:00 AM","1/9/2018 11:11:00 AM","Javier"
"MIA101","SCHEDULED ROUTE","33188389","1","BMW Load 2844 Stirling Rd Box E-12 Unit T Hollywood FL  33021","Pickup","0","0","","1/8/2018 9:00:00 AM","1/8/2018 9:30:00 AM","1/8/2018 10:00:00 AM","1/8/2018 10:05:00 AM","John"
"MIA101","SCHEDULED ROUTE","33253793","2","Braman BMW/Braman MINI of Miami 2060 NE 2nd Ave  Miami FL  33137","Delivery","11","10","","1/8/2018 10:40:00 AM","1/8/2018 10:40:00 AM","1/8/2018 10:40:00 AM","1/8/2018 10:28:00 AM","Luis"
"MIA101","SCHEDULED ROUTE","33253795","3","South Motors BMW/MINI 16165 S Dixie Hwy  Miami FL  33157","Delivery","20","7","","1/8/2018 11:20:00 AM","1/8/2018 11:20:00 AM","1/8/2018 11:20:00 AM","1/8/2018 11:09:00 AM","Javier"
"MIA101","SCHEDULED ROUTE","33138812","1","BMW Load 2844 Stirling Rd Box E-12 Unit T Hollywood FL  33021","Pickup","0","0","","1/5/2018 9:00:00 AM","1/5/2018 9:30:00 AM","1/5/2018 10:00:00 AM","1/5/2018 9:59:00 AM","John"
"MIA101","SCHEDULED ROUTE","33208057","2","Braman BMW/Braman MINI of Miami 2060 NE 2nd Ave  Miami FL  33137","Delivery","11","11","","1/5/2018 10:40:00 AM","1/5/2018 10:40:00 AM","1/5/2018 10:40:00 AM","1/5/2018 10:31:00 AM","Luis"
"MIA101","SCHEDULED ROUTE","33276880","1","BMW Load 2844 Stirling Rd Box E-12 Unit T Hollywood FL  33021","Pickup","0","0","","1/10/2018 9:00:00 AM","1/10/2018 9:30:00 AM","1/10/2018 10:00:00 AM","1/10/2018 10:06:00 AM","John"
"MIA101","SCHEDULED ROUTE","33342546","2","Braman BMW/Braman MINI of Miami 2060 NE 2nd Ave  Miami FL  33137","Delivery","12","12","","1/10/2018 10:40:00 AM","1/10/2018 10:40:00 AM","1/10/2018 10:40:00 AM","1/10/2018 10:41:00 AM","Luis"
"MIA101","SCHEDULED ROUTE","33342547","4","South Motors BMW/MINI 16165 S Dixie Hwy  Miami FL  33157","Delivery","17","17","","1/10/2018 11:20:00 AM","1/10/2018 11:20:00 AM","1/10/2018 11:20:00 AM","1/10/2018 11:38:00 AM","Javier"
"MIA101","SCHEDULED ROUTE","33342550","3","Braman BMW/Braman MINI of Miami 2060 NE 2nd Ave  Miami FL  33137","Delivery","12","12","","1/10/2018 10:40:00 AM","1/10/2018 10:40:00 AM","1/10/2018 10:40:00 AM","1/10/2018 10:42:00 AM","Luis"
"MIA101","SCHEDULED ROUTE","33224205","1","BMW Load 2844 Stirling Rd Box E-12 Unit T Hollywood FL  33021","Pickup","0","0","","1/9/2018 9:00:00 AM","1/9/2018 9:30:00 AM","1/9/2018 10:00:00 AM","1/9/2018 9:54:00 AM","Nsa"
"MIA101","SCHEDULED ROUTE","33297448","2","Braman BMW/Braman MINI of Miami 2060 NE 2nd Ave  Miami FL  33137","Delivery","11","9","","1/9/2018 10:40:00 AM","1/9/2018 10:40:00 AM","1/9/2018 10:40:00 AM","1/9/2018 10:29:00 AM","Luis"
"MIA101","SCHEDULED ROUTE","33367131","1","BMW Load 2844 Stirling Rd Box E-12 Unit T Hollywood FL  33021","Pickup","0","0","","1/12/2018 9:00:00 AM","1/12/2018 9:30:00 AM","1/12/2018 10:00:00 AM","1/12/2018 9:54:00 AM","John"
"MIA101","SCHEDULED ROUTE","33425580","2","Braman BMW/Braman MINI of Miami 2060 NE 2nd Ave  Miami FL  33137","Delivery","9","9","","1/12/2018 10:40:00 AM","1/12/2018 10:40:00 AM","1/12/2018 10:40:00 AM","1/12/2018 10:31:00 AM","Ñuis"
"MIA101","SCHEDULED ROUTE","33425581","3","South Motors BMW/MINI 16165 S Dixie Hwy  Miami FL  33157","Delivery","19","19","","1/12/2018 11:20:00 AM","1/12/2018 11:20:00 AM","1/12/2018 11:20:00 AM","1/12/2018 11:15:00 AM","Javier"
"MIA101","SCHEDULED ROUTE","33325506","1","BMW Load 2844 Stirling Rd Box E-12 Unit T Hollywood FL  33021","Pickup","0","0","","1/11/2018 9:00:00 AM","1/11/2018 9:30:00 AM","1/11/2018 10:00:00 AM","1/11/2018 10:02:00 AM","John"
"MIA101","SCHEDULED ROUTE","33386876","2","Braman BMW/Braman MINI of Miami 2060 NE 2nd Ave  Miami FL  33137","Delivery","9","8","","1/11/2018 10:40:00 AM","1/11/2018 10:40:00 AM","1/11/2018 10:40:00 AM","1/11/2018 10:23:00 AM","Luis"
"MIA101","SCHEDULED ROUTE","33386879","3","South Motors BMW/MINI 16165 S Dixie Hwy  Miami FL  33157","Delivery","13","13","","1/11/2018 11:20:00 AM","1/11/2018 11:20:00 AM","1/11/2018 11:20:00 AM","1/11/2018 11:09:00 AM","Javiet"
"MIA101","SCHEDULED ROUTE","33554900","2","Braman BMW/Braman MINI of Miami 2060 NE 2nd Ave  Miami FL  33137","Delivery","3","3","","1/17/2018 10:40:00 AM","1/17/2018 10:40:00 AM","1/17/2018 10:40:00 AM","1/17/2018 10:44:00 AM","Luis"
